sample_id	run_id	R1_file	R2_file
P15_ZB	20230109_ampliconTN15-16-17	P15_ZB_R1.fastq.gz	P15_ZB_R2.fastq.gz
P16_ZB	20230109_ampliconTN15-16-17	P16_ZB_R1.fastq.gz	P16_ZB_R2.fastq.gz
P17_ZB	20230109_ampliconTN15-16-17	P17_ZB_R1.fastq.gz	P17_ZB_R2.fastq.gz
P12_ZB	20221213_ampliconTN12-13-14	P12_ZB_R1.fastq.gz	P12_ZB_R2.fastq.gz
P13_ZB	20221213_ampliconTN12-13-14	P13_ZB_R1.fastq.gz	P13_ZB_R2.fastq.gz
P14_ZB	20221213_ampliconTN12-13-14	P14_ZB_R1.fastq.gz	P14_ZB_R2.fastq.gz
P9_ZB	20221115_ampliconTN9-10-11	P9_ZB_R1.fastq.gz	P9_ZB_R2.fastq.gz
P10_ZB	20221115_ampliconTN9-10-11	P10_ZB_R1.fastq.gz	P10_ZB_R2.fastq.gz
P11_ZB	20221115_ampliconTN9-10-11	P11_ZB_R1.fastq.gz	P11_ZB_R2.fastq.gz
P6_ZB	20221007_ampliconTN678	P6_ZB_R1.fastq.gz	P6_ZB_R2.fastq.gz
P7_ZB	20221007_ampliconTN678	P7_ZB_R1.fastq.gz	P7_ZB_R2.fastq.gz
P8_ZB	20221007_ampliconTN678	P8_ZB_R1.fastq.gz	P8_ZB_R2.fastq.gz
P3_ZB	20220408_amplicon_SSSTN	P3_ZB_R1.fastq.gz	P3_ZB_R2.fastq.gz
P4_ZB	20220408_amplicon_SSSTN	P4_ZB_R1.fastq.gz	P4_ZB_R2.fastq.gz
P5_ZB	20220311_amplicon_HIASAT	P5_ZB_R1.fastq.gz	P5_ZB_R2.fastq.gz
P2_ZB	20220204_amplicon_TONI	P2_ZB_R1.fastq.gz	P2_ZB_R2.fastq.gz
